Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-4197,Analgesic,Anxiety Reduction,"Stomach Upset, Fatigue, Nausea",Tablet,186 mg,Prescription,MediLife,2020,A analgesic used for anxiety reduction.,319.16,Active
Drug-7238,Antidepressant,Diabetes,"Stomach Upset, Dizziness",Capsule,207 mg,OTC,Global Remedies,1996,A antidepressant used for diabetes.,425.85,Discontinued
Drug-8168,Antidiabetic,Diabetes,"Nausea, Stomach Upset, Headache",Gel,,OTC,HealthPlus,2001,A antidiabetic used for diabetes.,265.16,Discontinued
Drug-3410,Sedative,Wound Cleaning,"Nausea, Headache, Dizziness",Tablet,93 mg,Prescription,BioSynth,2013,A sedative used for wound cleaning.,191.84,Active
Drug-1300,Antihistamine,Allergy Relief,"Nausea, Headache, Drowsiness",Syrup,43 mg,OTC,Global Remedies,1985,A antihistamine used for allergy relief.,215.84,Discontinued
Drug-4999,Antihistamine,Depression,Dizziness,Capsule,302 mg,OTC,MediLife,2000,A antihistamine used for depression.,274.28,Active
Drug-6492,Antibiotic,Anxiety Reduction,"Drowsiness, Nausea",Syrup,552 mg,OTC,MediLife,1991,A antibiotic used for anxiety reduction.,67.21,Active
Drug-5836,Antiviral,Anxiety Reduction,"Headache, Drowsiness, Stomach Upset",Capsule,315 mg,Prescription,PharmaCorp,2002,A antiviral used for anxiety reduction.,272.09,Active
Drug-1898,Antihistamine,Infection,"Nausea, Headache, Drowsiness",Capsule,,OTC,MediLife,2000,A antihistamine used for infection.,20.04,Discontinued
Drug-6348,Antidepressant,Wound Cleaning,Headache,Gel,424 mg,OTC,PharmaCorp,1995,A antidepressant used for wound cleaning.,161.84,Discontinued
Drug-7263,Antiviral,Depression,"Fatigue, Nausea",Tablet,751 mg,OTC,HealthPlus,1991,A antiviral used for depression.,271.52,Active
Drug-7667,Antidepressant,Blood Pressure Control,"Stomach Upset, Dizziness, Drowsiness",Syrup,493 mg,OTC,MediLife,2000,A antidepressant used for blood pressure control.,135.58,Active
Drug-6414,Antidepressant,Fungal Infection,"Dizziness, Drowsiness",Cream,110 mg,OTC,Global Remedies,1999,A antidepressant used for fungal infection.,21.31,Active
Drug-2167,Antifungal,Allergy Relief,"Nausea, Drowsiness",Cream,121 mg,Prescription,HealthPlus,1988,A antifungal used for allergy relief.,189.45,Active
Drug-3709,Analgesic,Anxiety Reduction,"Stomach Upset, Fatigue",Tablet,638 mg,Prescription,BioSynth,1994,A analgesic used for anxiety reduction.,246.91,Discontinued
Drug-9918,Sedative,Allergy Relief,Stomach Upset,Gel,986 mg,Prescription,HealthPlus,2023,A sedative used for allergy relief.,403.71,Discontinued
Drug-9213,Antidepressant,Depression,"Headache, Nausea",Capsule,580 mg,Prescription,BioSynth,1998,A antidepressant used for depression.,58.34,Discontinued
Drug-1164,Antiviral,Diabetes,"Stomach Upset, Drowsiness, Fatigue",Capsule,392 mg,OTC,PharmaCorp,1991,A antiviral used for diabetes.,371.32,Active
Drug-7572,Analgesic,Fungal Infection,"Stomach Upset, Drowsiness",Capsule,575 mg,Prescription,BioSynth,1997,A analgesic used for fungal infection.,18.59,Discontinued
Drug-2573,Analgesic,Wound Cleaning,"Nausea, Stomach Upset",Injection,935 mg,Prescription,Global Remedies,1980,A analgesic used for wound cleaning.,269.66,Discontinued
Drug-4237,Antiseptic,Diabetes,Drowsiness,Syrup,972 mg,Prescription,HealthPlus,2017,A antiseptic used for diabetes.,112.17,Discontinued
Drug-4941,Antidepressant,Depression,"Fatigue, Dizziness, Drowsiness",Gel,801 mg,Prescription,BioSynth,1988,A antidepressant used for depression.,65.7,Active
Drug-5956,Analgesic,Allergy Relief,"Stomach Upset, Dizziness",Cream,247 mg,Prescription,PharmaCorp,1993,A analgesic used for allergy relief.,85,Active
Drug-9933,Analgesic,Fungal Infection,"Headache, Fatigue, Drowsiness",Cream,301 mg,OTC,Global Remedies,1982,A analgesic used for fungal infection.,237.77,Discontinued
Drug-1081,Antiseptic,Allergy Relief,"Drowsiness, Dizziness",Capsule,412 mg,OTC,PharmaCorp,2005,A antiseptic used for allergy relief.,88.96,Discontinued
Drug-9455,Antidepressant,Pain Relief,Stomach Upset,Capsule,105 mg,Prescription,MediLife,1981,A antidepressant used for pain relief.,273.73,Active
Drug-4422,Antihypertensive,Diabetes,Fatigue,Injection,102 mg,OTC,HealthPlus,1985,A antihypertensive used for diabetes.,280.59,Discontinued
Drug-7430,Analgesic,Wound Cleaning,"Dizziness, Headache",Capsule,161 mg,Prescription,BioSynth,2000,A analgesic used for wound cleaning.,55.55,Active
Drug-4498,Sedative,Blood Pressure Control,Dizziness,Cream,661 mg,Prescription,HealthPlus,1980,A sedative used for blood pressure control.,221.82,Discontinued
Drug-2150,Antihistamine,Fungal Infection,Headache,Capsule,368 mg,OTC,MediLife,2018,A antihistamine used for fungal infection.,203.84,Active
Drug-7205,Antifungal,Diabetes,"Drowsiness, Nausea",Injection,581 mg,OTC,PharmaCorp,2009,A antifungal used for diabetes.,358.61,Active
Drug-9614,Antidepressant,Anxiety Reduction,"Nausea, Dizziness, Stomach Upset",Cream,49 mg,OTC,PharmaCorp,2020,A antidepressant used for anxiety reduction.,274.13,Discontinued
Drug-8285,Antihistamine,Fungal Infection,"Dizziness, Fatigue",Syrup,194 mg,OTC,HealthPlus,1989,A antihistamine used for fungal infection.,170.78,Discontinued
Drug-6032,Sedative,Pain Relief,Dizziness,Capsule,703 mg,OTC,Global Remedies,2000,A sedative used for pain relief.,230.86,Discontinued
Drug-9345,Antihistamine,Blood Pressure Control,"Headache, Dizziness, Fatigue",Capsule,130 mg,OTC,MediLife,2021,A antihistamine used for blood pressure control.,277.67,Discontinued
Drug-6839,Antiseptic,Wound Cleaning,Dizziness,Injection,135 mg,OTC,Global Remedies,2005,A antiseptic used for wound cleaning.,141.6,Active
Drug-2771,Antibiotic,Fungal Infection,Nausea,Injection,499 mg,OTC,MediLife,1987,A antibiotic used for fungal infection.,259.39,Discontinued
Drug-8027,Antidepressant,Pain Relief,Headache,Syrup,769 mg,OTC,Global Remedies,1994,A antidepressant used for pain relief.,483.29,Active
Drug-9344,Antidiabetic,Anxiety Reduction,"Nausea, Fatigue",Syrup,949 mg,Prescription,Global Remedies,2008,A antidiabetic used for anxiety reduction.,469.16,Active
Drug-6523,Analgesic,Virus Management,"Dizziness, Drowsiness, Headache",Syrup,478 mg,Prescription,Global Remedies,1992,A analgesic used for virus management.,71.93,Discontinued
Drug-6905,Analgesic,Diabetes,"Drowsiness, Fatigue",Capsule,181 mg,Prescription,BioSynth,2001,A analgesic used for diabetes.,117.45,Discontinued
Drug-6161,Antihistamine,Anxiety Reduction,"Fatigue, Nausea",Tablet,745 mg,Prescription,Global Remedies,2023,A antihistamine used for anxiety reduction.,62.03,Discontinued
Drug-3763,Antibiotic,Wound Cleaning,"Drowsiness, Stomach Upset",Capsule,549 mg,OTC,Global Remedies,2016,A antibiotic used for wound cleaning.,158.89,Active
Drug-1286,Analgesic,Pain Relief,Dizziness,Syrup,364 mg,Prescription,BioSynth,1983,A analgesic used for pain relief.,261.62,Discontinued
Drug-2477,Antibiotic,Pain Relief,"Stomach Upset, Headache",Cream,644 mg,OTC,Global Remedies,2006,A antibiotic used for pain relief.,220.3,Active
Drug-2378,Antiviral,Depression,Stomach Upset,Tablet,882 mg,OTC,PharmaCorp,1989,A antiviral used for depression.,300.53,Discontinued
Drug-3193,Analgesic,Depression,Nausea,Tablet,528 mg,OTC,HealthPlus,2013,A analgesic used for depression.,395.28,Discontinued
Drug-5982,Antidiabetic,Diabetes,"Stomach Upset, Drowsiness, Dizziness",Capsule,597 mg,OTC,Global Remedies,2013,A antidiabetic used for diabetes.,396.71,Discontinued
Drug-3778,Analgesic,Infection,"Fatigue, Nausea",Tablet,321 mg,OTC,MediLife,2003,A analgesic used for infection.,123.15,Active
Drug-4527,Antibiotic,Diabetes,Fatigue,Tablet,758 mg,Prescription,PharmaCorp,2009,A antibiotic used for diabetes.,499.53,Discontinued
Drug-3933,Antibiotic,Blood Pressure Control,"Dizziness, Fatigue",Cream,634 mg,Prescription,BioSynth,2023,A antibiotic used for blood pressure control.,471.86,Discontinued
Drug-4211,Antifungal,Allergy Relief,"Nausea, Fatigue, Headache",Injection,228 mg,OTC,MediLife,2017,A antifungal used for allergy relief.,392.12,Active
Drug-1517,Antihypertensive,Diabetes,"Dizziness, Headache, Stomach Upset",Cream,797 mg,Prescription,MediLife,1991,A antihypertensive used for diabetes.,336.52,Discontinued
Drug-4737,Antibiotic,Allergy Relief,"Nausea, Stomach Upset, Dizziness",,790 mg,OTC,HealthPlus,2008,A antibiotic used for allergy relief.,61.23,Active
Drug-9418,Antibiotic,Fungal Infection,"Dizziness, Stomach Upset, Headache",Gel,934 mg,Prescription,HealthPlus,1999,A antibiotic used for fungal infection.,314.02,Discontinued
Drug-8504,Antihypertensive,Pain Relief,"Fatigue, Nausea",Capsule,699 mg,Prescription,PharmaCorp,2010,A antihypertensive used for pain relief.,421.33,Active
Drug-6276,Antifungal,Depression,Headache,Syrup,456 mg,Prescription,BioSynth,2021,A antifungal used for depression.,486.44,Discontinued
Drug-5867,Antifungal,Diabetes,Headache,Cream,286 mg,Prescription,HealthPlus,1996,A antifungal used for diabetes.,29.8,Discontinued
Drug-7463,Analgesic,Anxiety Reduction,"Fatigue, Headache, Drowsiness",Capsule,424 mg,Prescription,Global Remedies,2014,A analgesic used for anxiety reduction.,410.86,Active
Drug-5625,Antiviral,Virus Management,Nausea,Tablet,872 mg,OTC,BioSynth,1983,A antiviral used for virus management.,58.96,Discontinued
Drug-3915,Antibiotic,Wound Cleaning,"Dizziness, Nausea, Fatigue",Gel,788 mg,Prescription,HealthPlus,2005,A antibiotic used for wound cleaning.,304.11,Discontinued
Drug-1025,Antifungal,Blood Pressure Control,"Stomach Upset, Dizziness, Drowsiness",Tablet,625 mg,OTC,PharmaCorp,2004,A antifungal used for blood pressure control.,244.05,Discontinued
Drug-7654,Analgesic,Pain Relief,"Stomach Upset, Headache",Tablet,21 mg,Prescription,BioSynth,2010,A analgesic used for pain relief.,461.78,Active
Drug-3033,Antibiotic,Blood Pressure Control,"Fatigue, Nausea",Syrup,421 mg,OTC,HealthPlus,1982,A antibiotic used for blood pressure control.,258.58,Active
Drug-6228,Antihypertensive,Anxiety Reduction,"Nausea, Headache",Injection,215 mg,OTC,Global Remedies,2014,A antihypertensive used for anxiety reduction.,123.58,Active
Drug-7864,Antihistamine,Pain Relief,Nausea,Tablet,876 mg,OTC,PharmaCorp,1980,A antihistamine used for pain relief.,66.38,Discontinued
Drug-3786,Antidepressant,Depression,"Dizziness, Headache",Tablet,118 mg,Prescription,BioSynth,1993,A antidepressant used for depression.,153.28,Active
Drug-7522,Antihypertensive,Fungal Infection,Drowsiness,Capsule,529 mg,OTC,Global Remedies,2003,A antihypertensive used for fungal infection.,156.56,Discontinued
Drug-3487,Sedative,Anxiety Reduction,"Stomach Upset, Dizziness, Nausea",Gel,153 mg,Prescription,Global Remedies,2004,A sedative used for anxiety reduction.,199.11,Active
Drug-8032,Analgesic,Anxiety Reduction,"Drowsiness, Dizziness",Capsule,751 mg,Prescription,HealthPlus,1981,A analgesic used for anxiety reduction.,242.9,Discontinued
Drug-8202,Antifungal,Anxiety Reduction,"Drowsiness, Headache, Dizziness",Syrup,517 mg,OTC,MediLife,1980,A antifungal used for anxiety reduction.,320.18,Active
Drug-1659,Antiviral,Allergy Relief,"Drowsiness, Stomach Upset, Nausea",Injection,,Prescription,PharmaCorp,2021,A antiviral used for allergy relief.,379.88,Discontinued
Drug-8114,Sedative,Fungal Infection,Stomach Upset,Cream,610 mg,OTC,HealthPlus,2023,A sedative used for fungal infection.,126.92,Active
Drug-8825,Analgesic,Wound Cleaning,"Headache, Dizziness, Nausea",Capsule,632 mg,OTC,HealthPlus,1998,A analgesic used for wound cleaning.,183.82,Active
Drug-5367,Antiseptic,Wound Cleaning,"Fatigue, Drowsiness, Dizziness",Gel,441 mg,Prescription,PharmaCorp,2004,A antiseptic used for wound cleaning.,144.67,Discontinued
Drug-2493,Antidiabetic,Wound Cleaning,"Dizziness, Fatigue, Headache",Tablet,372 mg,Prescription,HealthPlus,1982,A antidiabetic used for wound cleaning.,284.96,Discontinued
Drug-5425,Antihypertensive,Diabetes,"Stomach Upset, Fatigue, Nausea",Tablet,698 mg,Prescription,PharmaCorp,2002,A antihypertensive used for diabetes.,462.02,Discontinued
Drug-7189,Sedative,Infection,"Dizziness, Stomach Upset",Tablet,128 mg,OTC,BioSynth,1982,A sedative used for infection.,110.26,Active
Drug-4288,Sedative,Infection,"Fatigue, Stomach Upset",Tablet,603 mg,OTC,Global Remedies,1991,A sedative used for infection.,276.41,Active
Drug-5118,Antibiotic,Pain Relief,"Headache, Fatigue, Drowsiness",Gel,935 mg,OTC,Global Remedies,2013,A antibiotic used for pain relief.,117.96,Discontinued
Drug-7960,Antihypertensive,Pain Relief,Drowsiness,Tablet,886 mg,OTC,PharmaCorp,1997,A antihypertensive used for pain relief.,44.97,Active
Drug-9301,Antifungal,Diabetes,"Drowsiness, Dizziness, Headache",Capsule,91 mg,OTC,HealthPlus,1993,A antifungal used for diabetes.,36.95,Active
Drug-8889,Antiviral,Wound Cleaning,"Dizziness, Nausea",Syrup,251 mg,OTC,MediLife,2021,A antiviral used for wound cleaning.,254.11,Active
Drug-4318,Antidiabetic,Pain Relief,Headache,Capsule,501 mg,Prescription,MediLife,2020,A antidiabetic used for pain relief.,274.55,Active
Drug-7325,Antihypertensive,Infection,"Dizziness, Stomach Upset, Nausea",Tablet,680 mg,OTC,HealthPlus,1998,A antihypertensive used for infection.,267.75,Active
Drug-4716,Antiseptic,Pain Relief,"Dizziness, Nausea",Capsule,374 mg,Prescription,MediLife,1985,A antiseptic used for pain relief.,234.34,Discontinued
Drug-4477,Antibiotic,Diabetes,Nausea,Syrup,856 mg,Prescription,PharmaCorp,2018,A antibiotic used for diabetes.,290.51,Active
Drug-2495,Antiviral,Depression,Drowsiness,Tablet,540 mg,OTC,BioSynth,1994,A antiviral used for depression.,233.57,Active
Drug-4548,Antidepressant,Infection,"Drowsiness, Headache, Nausea",Cream,41 mg,OTC,BioSynth,2017,A antidepressant used for infection.,161.34,Discontinued
Drug-2866,Antihypertensive,Depression,Drowsiness,Capsule,370 mg,OTC,PharmaCorp,2022,A antihypertensive used for depression.,265.47,Discontinued
Drug-2255,Antihistamine,Pain Relief,"Headache, Nausea, Drowsiness",Injection,878 mg,OTC,PharmaCorp,2001,A antihistamine used for pain relief.,368.24,Discontinued
Drug-4636,Antidiabetic,Blood Pressure Control,"Headache, Fatigue, Drowsiness",Gel,577 mg,Prescription,MediLife,1987,A antidiabetic used for blood pressure control.,419.35,Discontinued
Drug-6575,Antibiotic,Fungal Infection,"Stomach Upset, Fatigue",Tablet,799 mg,OTC,BioSynth,1998,A antibiotic used for fungal infection.,174.3,Discontinued
Drug-6790,Sedative,Wound Cleaning,"Dizziness, Headache",Gel,400 mg,Prescription,HealthPlus,2015,A sedative used for wound cleaning.,63.44,Active
Drug-8048,Antihypertensive,Pain Relief,"Stomach Upset, Drowsiness",Capsule,755 mg,Prescription,MediLife,2010,A antihypertensive used for pain relief.,5.47,Active
Drug-6856,Antibiotic,Allergy Relief,Headache,Gel,953 mg,Prescription,HealthPlus,1991,A antibiotic used for allergy relief.,144.81,Discontinued
Drug-3000,Analgesic,Infection,"Stomach Upset, Headache, Drowsiness",Cream,121 mg,Prescription,Global Remedies,1999,A analgesic used for infection.,181.19,Discontinued
Drug-8987,Antifungal,Allergy Relief,"Nausea, Drowsiness, Stomach Upset",Injection,333 mg,Prescription,Global Remedies,1995,A antifungal used for allergy relief.,413.39,Discontinued
Drug-5831,Antihypertensive,Blood Pressure Control,"Headache, Dizziness, Drowsiness",Capsule,410 mg,Prescription,BioSynth,1983,A antihypertensive used for blood pressure control.,386.7,Active
Drug-3181,Antidiabetic,Wound Cleaning,"Dizziness, Drowsiness",,373 mg,OTC,MediLife,2022,A antidiabetic used for wound cleaning.,495.45,Discontinued
Drug-6960,Antihistamine,Pain Relief,"Drowsiness, Dizziness, Fatigue",Cream,613 mg,OTC,HealthPlus,2006,A antihistamine used for pain relief.,438.4,Active
Drug-5827,Sedative,Wound Cleaning,"Drowsiness, Fatigue",Gel,169 mg,Prescription,BioSynth,1992,A sedative used for wound cleaning.,209.94,Discontinued
Drug-1274,Antiviral,Infection,"Fatigue, Drowsiness",Cream,295 mg,OTC,HealthPlus,2006,A antiviral used for infection.,10.85,Discontinued
Drug-3805,Antihistamine,Pain Relief,Drowsiness,Syrup,853 mg,Prescription,PharmaCorp,1985,A antihistamine used for pain relief.,337.5,Active
Drug-3487,Antidiabetic,Pain Relief,"Nausea, Fatigue, Stomach Upset",Capsule,547 mg,OTC,Global Remedies,2020,A antidiabetic used for pain relief.,356.73,Active
Drug-9761,Antiseptic,Depression,Fatigue,Gel,892 mg,Prescription,MediLife,2022,A antiseptic used for depression.,99.14,Active
Drug-4267,Antihistamine,Depression,"Headache, Stomach Upset",Injection,283 mg,Prescription,MediLife,1992,A antihistamine used for depression.,397.56,Discontinued
Drug-5720,Antiviral,Diabetes,"Stomach Upset, Drowsiness, Nausea",Tablet,497 mg,Prescription,BioSynth,2020,A antiviral used for diabetes.,44.46,Discontinued
Drug-7164,Antidiabetic,Blood Pressure Control,"Fatigue, Drowsiness",Syrup,406 mg,Prescription,MediLife,2017,A antidiabetic used for blood pressure control.,432.69,Discontinued
Drug-7042,Antibiotic,Pain Relief,"Fatigue, Dizziness",Injection,814 mg,Prescription,MediLife,2001,A antibiotic used for pain relief.,92.49,Active
Drug-2952,Antifungal,Allergy Relief,Stomach Upset,Cream,95 mg,Prescription,MediLife,2013,A antifungal used for allergy relief.,40.12,Discontinued
Drug-8690,Antihistamine,Infection,"Headache, Fatigue, Nausea",Syrup,707 mg,OTC,MediLife,1993,A antihistamine used for infection.,481.17,Active
Drug-8492,Antiviral,Diabetes,"Fatigue, Drowsiness, Stomach Upset",Syrup,959 mg,OTC,Global Remedies,2010,A antiviral used for diabetes.,280.47,Discontinued
Drug-3187,Antifungal,Anxiety Reduction,"Stomach Upset, Drowsiness, Dizziness",Capsule,923 mg,Prescription,PharmaCorp,1993,A antifungal used for anxiety reduction.,283.07,Discontinued
Drug-4626,Analgesic,Anxiety Reduction,"Drowsiness, Stomach Upset, Headache",Gel,626 mg,OTC,Global Remedies,1993,A analgesic used for anxiety reduction.,179.51,Discontinued
Drug-5478,Antihypertensive,Anxiety Reduction,"Dizziness, Fatigue, Stomach Upset",Syrup,597 mg,Prescription,Global Remedies,1988,A antihypertensive used for anxiety reduction.,145.22,Active
Drug-2857,Antihypertensive,Wound Cleaning,Headache,Injection,747 mg,OTC,HealthPlus,2000,A antihypertensive used for wound cleaning.,122.76,Discontinued
Drug-5323,Antifungal,Fungal Infection,"Dizziness, Fatigue, Drowsiness",Cream,559 mg,OTC,HealthPlus,2002,A antifungal used for fungal infection.,193.91,Active
Drug-4324,Antibiotic,Diabetes,Headache,Injection,279 mg,Prescription,BioSynth,2003,A antibiotic used for diabetes.,271.92,Active
Drug-5245,Antidiabetic,Anxiety Reduction,Stomach Upset,Capsule,187 mg,OTC,BioSynth,2009,A antidiabetic used for anxiety reduction.,115.91,Discontinued
Drug-6698,Antihypertensive,Allergy Relief,Drowsiness,Syrup,318 mg,OTC,Global Remedies,2021,A antihypertensive used for allergy relief.,86.8,Active
Drug-7151,Antihypertensive,Diabetes,"Headache, Dizziness, Drowsiness",Syrup,807 mg,Prescription,HealthPlus,1993,A antihypertensive used for diabetes.,367.86,Discontinued
Drug-7998,Sedative,Blood Pressure Control,"Nausea, Drowsiness",Tablet,39 mg,Prescription,MediLife,2015,A sedative used for blood pressure control.,138.3,Discontinued
Drug-1289,Antibiotic,Anxiety Reduction,"Drowsiness, Stomach Upset",Tablet,976 mg,Prescription,HealthPlus,2021,A antibiotic used for anxiety reduction.,388.1,Active
Drug-2758,Antiviral,Anxiety Reduction,Dizziness,Capsule,685 mg,Prescription,MediLife,2002,A antiviral used for anxiety reduction.,200.32,Active
Drug-3894,Antifungal,Wound Cleaning,"Stomach Upset, Drowsiness",Injection,126 mg,OTC,HealthPlus,2012,A antifungal used for wound cleaning.,290.57,Discontinued
Drug-1718,Analgesic,Fungal Infection,Nausea,Cream,549 mg,Prescription,Global Remedies,2004,A analgesic used for fungal infection.,80.81,Discontinued
Drug-3400,Analgesic,Depression,Headache,Injection,305 mg,Prescription,Global Remedies,2021,A analgesic used for depression.,387.69,Discontinued
Drug-9817,Antidepressant,Pain Relief,"Stomach Upset, Fatigue",Syrup,,Prescription,PharmaCorp,1986,A antidepressant used for pain relief.,149.28,Discontinued
Drug-3910,Analgesic,Depression,"Nausea, Headache",Capsule,272 mg,OTC,Global Remedies,1981,A analgesic used for depression.,235.33,Discontinued
Drug-9760,Sedative,Anxiety Reduction,"Dizziness, Stomach Upset",Gel,111 mg,Prescription,Global Remedies,2002,A sedative used for anxiety reduction.,493.83,Discontinued
Drug-8078,Sedative,Fungal Infection,"Stomach Upset, Fatigue, Dizziness",Cream,849 mg,OTC,HealthPlus,1985,A sedative used for fungal infection.,336.32,Discontinued
Drug-5260,Sedative,Fungal Infection,"Dizziness, Fatigue",Injection,691 mg,Prescription,HealthPlus,1986,A sedative used for fungal infection.,71.64,Active
Drug-9916,Antidiabetic,Pain Relief,"Stomach Upset, Dizziness, Nausea",Gel,428 mg,OTC,Global Remedies,2021,A antidiabetic used for pain relief.,317.15,Active
Drug-8090,Sedative,Pain Relief,Headache,Capsule,819 mg,OTC,HealthPlus,1991,A sedative used for pain relief.,117.22,Active
Drug-1089,Antidepressant,Wound Cleaning,"Stomach Upset, Dizziness, Drowsiness",Cream,982 mg,OTC,MediLife,2001,A antidepressant used for wound cleaning.,393.1,Active
Drug-3235,Antihistamine,Depression,"Nausea, Stomach Upset",Capsule,921 mg,Prescription,BioSynth,2003,A antihistamine used for depression.,348.38,Active
Drug-3020,Antiviral,Blood Pressure Control,Drowsiness,Tablet,241 mg,Prescription,BioSynth,2010,A antiviral used for blood pressure control.,416.52,Discontinued
Drug-9813,Antifungal,Depression,"Stomach Upset, Nausea, Headache",Capsule,908 mg,Prescription,PharmaCorp,1998,A antifungal used for depression.,219.14,Discontinued
Drug-9759,Antiviral,Blood Pressure Control,Headache,Tablet,708 mg,OTC,PharmaCorp,2018,A antiviral used for blood pressure control.,249.33,Active
Drug-9474,Antihistamine,Infection,"Nausea, Drowsiness",Syrup,231 mg,Prescription,MediLife,2007,A antihistamine used for infection.,332.6,Discontinued
Drug-8863,Antihistamine,Anxiety Reduction,"Drowsiness, Nausea",Syrup,474 mg,OTC,HealthPlus,2003,A antihistamine used for anxiety reduction.,439.95,Discontinued
Drug-9123,Antiviral,Wound Cleaning,Drowsiness,Cream,397 mg,Prescription,Global Remedies,2017,A antiviral used for wound cleaning.,359.77,Discontinued
Drug-1096,Antiseptic,Pain Relief,"Fatigue, Headache, Drowsiness",Gel,746 mg,Prescription,Global Remedies,1998,A antiseptic used for pain relief.,230.43,Discontinued
Drug-3542,Antifungal,Infection,"Fatigue, Stomach Upset",Capsule,27 mg,Prescription,HealthPlus,2014,A antifungal used for infection.,133.8,Active
Drug-9491,Antihistamine,Fungal Infection,"Drowsiness, Dizziness, Fatigue",Tablet,29 mg,OTC,PharmaCorp,2010,A antihistamine used for fungal infection.,314.19,Discontinued
Drug-1564,Antiviral,Allergy Relief,"Fatigue, Drowsiness, Nausea",Syrup,403 mg,OTC,Global Remedies,1999,A antiviral used for allergy relief.,105.12,Discontinued
Drug-4968,Antiseptic,Diabetes,"Stomach Upset, Nausea, Dizziness",Tablet,209 mg,OTC,MediLife,2013,A antiseptic used for diabetes.,68.62,Active
Drug-5787,Antibiotic,Infection,Drowsiness,Cream,234 mg,Prescription,BioSynth,2017,A antibiotic used for infection.,477.23,Active
Drug-3011,Antidepressant,Infection,"Dizziness, Headache",Cream,921 mg,OTC,HealthPlus,2017,A antidepressant used for infection.,116.83,Active
Drug-4265,Antidepressant,Wound Cleaning,Drowsiness,Gel,342 mg,Prescription,Global Remedies,1982,A antidepressant used for wound cleaning.,431.01,Discontinued
Drug-9914,Antiseptic,Allergy Relief,"Headache, Nausea, Dizziness",Capsule,434 mg,Prescription,BioSynth,1985,A antiseptic used for allergy relief.,143.28,Discontinued
Drug-1863,Antiseptic,Fungal Infection,"Dizziness, Nausea, Stomach Upset",Capsule,819 mg,Prescription,HealthPlus,2016,A antiseptic used for fungal infection.,203.79,Active
Drug-9663,Antiseptic,Depression,"Dizziness, Stomach Upset, Headache",,645 mg,OTC,HealthPlus,2018,A antiseptic used for depression.,345.03,Discontinued
Drug-4746,Sedative,Anxiety Reduction,Drowsiness,Capsule,232 mg,Prescription,MediLife,2015,A sedative used for anxiety reduction.,365.68,Active
Drug-8958,Sedative,Allergy Relief,"Nausea, Fatigue, Stomach Upset",Cream,196 mg,Prescription,PharmaCorp,1986,A sedative used for allergy relief.,178.32,Active
Drug-3371,Antibiotic,Depression,"Nausea, Dizziness",Tablet,921 mg,Prescription,MediLife,2019,A antibiotic used for depression.,261.49,Active
Drug-8296,Sedative,Depression,"Drowsiness, Nausea",Injection,704 mg,Prescription,BioSynth,2016,A sedative used for depression.,322.78,Active
Drug-4490,Antidiabetic,Infection,Drowsiness,Capsule,51 mg,OTC,Global Remedies,2020,A antidiabetic used for infection.,23.17,Discontinued
Drug-5312,Antidiabetic,Fungal Infection,Stomach Upset,Syrup,278 mg,Prescription,PharmaCorp,1992,A antidiabetic used for fungal infection.,338.35,Active
Drug-3886,Antidepressant,Blood Pressure Control,Dizziness,Capsule,949 mg,OTC,BioSynth,1999,A antidepressant used for blood pressure control.,58.7,Active
Drug-3183,Antidepressant,Fungal Infection,Nausea,Injection,167 mg,Prescription,Global Remedies,2017,A antidepressant used for fungal infection.,328.52,Active
Drug-1596,Antifungal,Diabetes,"Dizziness, Nausea, Drowsiness",Cream,214 mg,OTC,MediLife,2008,A antifungal used for diabetes.,147.71,Active
Drug-8115,Antihypertensive,Anxiety Reduction,"Stomach Upset, Nausea",Cream,567 mg,OTC,HealthPlus,1987,A antihypertensive used for anxiety reduction.,407.76,Active
Drug-4433,Sedative,Blood Pressure Control,"Dizziness, Drowsiness",Tablet,605 mg,Prescription,MediLife,2005,A sedative used for blood pressure control.,469.15,Active
Drug-9471,Sedative,Allergy Relief,"Fatigue, Drowsiness",Tablet,219 mg,OTC,Global Remedies,2010,A sedative used for allergy relief.,416.48,Discontinued
Drug-5874,Antidepressant,Fungal Infection,"Stomach Upset, Nausea",Tablet,289 mg,OTC,HealthPlus,1990,A antidepressant used for fungal infection.,256.39,Discontinued
Drug-7446,Antidiabetic,Diabetes,"Nausea, Dizziness, Headache",Injection,733 mg,Prescription,Global Remedies,1998,A antidiabetic used for diabetes.,165.91,Active
Drug-9532,Antifungal,Fungal Infection,"Drowsiness, Headache, Dizziness",Syrup,927 mg,Prescription,PharmaCorp,2008,A antifungal used for fungal infection.,111.3,Discontinued
Drug-8286,Antidiabetic,Allergy Relief,"Headache, Fatigue, Stomach Upset",Tablet,956 mg,Prescription,Global Remedies,2018,A antidiabetic used for allergy relief.,478.87,Active
Drug-6341,Antihistamine,Depression,Drowsiness,Syrup,277 mg,OTC,PharmaCorp,1993,A antihistamine used for depression.,25.72,Discontinued
Drug-6273,Antihypertensive,Diabetes,"Stomach Upset, Headache, Fatigue",Injection,480 mg,Prescription,HealthPlus,2011,A antihypertensive used for diabetes.,99.71,Active
